host_id,host_name,host_since,host_url,host_location,about_host
2613,Rebecca,8/29/2008,https://www.airbnb.com/users/show/2613,"Chicago, Illinois, United States","My 2 bdrm apartment is on the 2nd floor of a quiet, vintage co-op building, overlooking a pleasant courtyard.  I allow only one guest at a time, so you don't have to worry about other strangers in the apartment. (I occupy the 2nd bedroom).  A single, female traveler will feel safe and be comfortable here. If you are visiting the University of Chicago - or visiting your UChicago student who hasn't enough room to host you - my location will allow you to walk to your destination. My apartment is probably the Airbnb listing most convenient to the Chicago Theological Seminary. 

I realize that a lot of older people - like me - are hesitant about trying Airbnb, but you will be pleasantly surprised at how drama-free the experience can be. The key is to read the listings and reviews, then select only the ones that meets your safety, location, and comfort needs. Decide if you want an entire apartment or simply a private bedroom - like mine. Determine if you are comfortable with other travelers staying in the apartment or if you want to be the only guest during your visit - like my place. Airbnb hosts want you to enjoy your stay so read the entire listing (including the House Rules), look st the pictures and maps, and then ask any questions you may still have - before you book. 

Please let me know the purpose of your trip to Chicago so I can determine if my apartment or Hyde Park location is (or isn't) right for your visit.  I may even be able to suggest a more appropriate location. In any event, I will answer your inquiries quickly and honestly. "
5775,Craig & Kathleen,12/29/2008,https://www.airbnb.com/users/show/5775,"Chicago, Illinois, United States","Incredibly creative(Kathleen) and stunningly amusing/disturbing(Craig) Chicago artists who have to work for a living. Dog and cat unemployed. As good Chicagoans, all four of us support Obama (Hillary), so if you're Republican, you might want to stay somewhere else, ...like, uh, maybe Kentucky. Just to clarify, we've been to Kentucky and it's a very nice place to visit.  Would never live there."
15365,Reem,4/30/2009,https://www.airbnb.com/users/show/15365,"Chicago, Illinois, United States","We have been running this vacation rental for many years now. It is a business we started not knowing what we was getting into. It has been a wonderful experience meeting guests from all over the world. We have a lot of repeat guests and groups for graduations, weddings, family reunions, business, etc. We also get a lot of International guests from Europe,Mexico & Canada"
33004,At Home Inn,8/21/2009,https://www.airbnb.com/users/show/33004,"Chicago, Illinois, United States","Hi, we're Bob and Liz Biddle, long time Chicagoans and your hosts. We started At Home Inn Chicago in 2000 as a reservation service for bed and breakfasts in Chicago, and have since evolved into one of the city's most-respected sources for vacation rentals, corporate housing, and weekend getaways. 

We provide fully furnished vacation rentals and corporate housing at more than 40 units throughout the city in or near every neighborhood.  

We are here to answer all of your questions about Chicago, whether you need a restaurant recommendation, public transit tips, or insider tips on how to experience the Chicago that locals know and love. 

We love this city, especially getting ribs at Twin Anchors in Old Town before a show at Second City. Wicker Park is a frequent hangout, where we tend to be pulled to the patio at Big Star, the bar at XOCO, and cocktails at Violet Hour. 

And free concerts at Pritzker Pavilion in Millenium Park can't be matched by any city in the world. 

We'd love to help you experience all of this with us and so much more!"
2140,Lois And Ed,8/16/2008,https://www.airbnb.com/users/show/2140,"Aurora, Illinois, United States","Outgoing people who love people and exploring new places.  
We run a pretty laid back house, with the expectation that guests are responsible adults. 

My Life's Mission: Love, Joy, Peace and Grace In A World That Works 4 Everyone!

Lois' favorite quote:

"" A person who is a master in the art of living makes little distinction between their work and their play, their labor and their leisure, their mind and their body, their education and their recreation, their love and their religion. They hardly know which is which and simply pursue their vision of excellence and grace, whatever they do, leaving others to decide whether they are working or playing. To them, they are always doing both.""
- James A. Michener

Ed is an ecologist studying the interaction between things and stuff.  He is on his fourth career, having previously been a hardware man, a bicycle mechanic, and a college student.

A favorite quote: "" Everyone is entitled to his opinion, but not to his own facts"" - Daniel Moynihan


"
40731,Dominic,9/23/2009,https://www.airbnb.com/users/show/40731,"New York, New York, United States",NYC
46734,Sharon And Robert,10/18/2009,https://www.airbnb.com/users/show/46734,"Chicago, Illinois, United States","Best in the city with long-time urban-dwelling hosts available to give you the skinny on most things Chicago, while allowing you complete privacy in your own large, separate suite area, accessed via a private stairway.

Luxurious and pristine accommodations with a modern décor in the heart of Chicago’s Lincoln Park – perfect for business or leisure travelers. Located in the spot center of lively city life, it is minutes from the Loop, Magnificent Mile and Millennium Park."
85811,Craig,2/26/2010,https://www.airbnb.com/users/show/85811,"Chicago, Illinois, United States","Enrtrepreneur, Business Owner, Avid Traveler, Athlete, Snowboarder, Beach Lover, Adventurer, Wakeboarder, Chiller, Runner, Swimmer, Beer Lover, Life Liver!"
87231,Jeff And JoAnne,3/2/2010,https://www.airbnb.com/users/show/87231,"Chicago, Illinois, United States","  We love helping people find new homes, whether it is for a few nights or 3 months.  Chicago is an incredible city and we appreciate your trust in us and our furnished apartment homes.  We look forward to making your  Chicago experience a memorable one.
"
101521,Red,3/31/2010,https://www.airbnb.com/users/show/101521,"Chicago, Illinois, United States","Travel is fun and exciting but can be hard on the wallet.  It doesn't have to be that way.  Email if you have questions, especially if your requested dates are in the near term and I will do my best to work with you!

Having spent more time than I care to remember in sterile, uninviting hotel rooms, I was initially attracted to vacation rentals as refreshing, and often more affordable, alternatives.  What I found were the same white walls and beige furniture or, even worse, cluttered rooms and Aunt Edna's donated dilapidated couch in the living room.  Well, welcome to something different.  Take a break from your busy schedule by relaxing in clean, inviting rental that that feels enough like home that you're immediately comfortable while being so special you'll look forward to your return.  Many of my guests have been back 2 or 3 times, and some have found themselves venturing across the country to check out another Red Hot Vacation Rental.  

My places are located in Chicago, Miami Beach and San Francisco. I've lived in all 3 cities and am happy to suggest hidden local gems or recommend the best nearby dry cleaner.    
"
